node,algorithm,operation,message_size,time_ms,energy_joule
B,AES,decrypt,IMAGE,8224,0.0610999995842576,0.000305499997921288
A,AES,encrypt,IMAGE,8192,0.04569999873638153,0.00022849999368190765
A,AES,encrypt,IMAGE,8192,0.043899985030293465,0.00021949992515146732
B,AES,decrypt,IMAGE,8224,0.10310002835467458,0.0005155001417733729
A,AES,encrypt,IMAGE,8192,0.04250003257766366,0.0002125001628883183
B,AES,decrypt,IMAGE,8224,0.05849997978657484,0.0002924998989328742
A,AES,encrypt,IMAGE,8192,0.045599997974932194,0.00022799998987466097
B,AES,decrypt,IMAGE,8224,0.054500007536262274,0.00027250003768131137
A,AES,encrypt,IMAGE,8192,0.04349998198449612,0.00021749990992248058
B,AES,decrypt,IMAGE,8224,0.05640002200379968,0.0002820001100189984
